OFGNKLEL_00013	K09815
OFGNKLEL_02017	K18258
OFGNKLEL_02018	K03072
OFGNKLEL_02019	K03074
OFGNKLEL_02020	K04096
OFGNKLEL_02023	K00140
OFGNKLEL_02028	K02437
OFGNKLEL_02030	K05776
OFGNKLEL_02032	K09858
OFGNKLEL_02045	K02493
OFGNKLEL_02046	K01897
OFGNKLEL_02050	K00548
OFGNKLEL_02051	K07305
OFGNKLEL_02054	K02257
OFGNKLEL_02055	K02826
OFGNKLEL_02057	K15408
OFGNKLEL_02058	K02274
OFGNKLEL_02063	K05366
OFGNKLEL_02064	K08303
OFGNKLEL_02065	K01995
OFGNKLEL_02066	K01998
OFGNKLEL_02067	K01997
OFGNKLEL_02069	K07714
OFGNKLEL_02071	K13533
OFGNKLEL_02074	K07658
OFGNKLEL_02076	K00821
OFGNKLEL_02077	K07171
OFGNKLEL_02080	K01634
OFGNKLEL_02083	K01740
OFGNKLEL_02084	K00641
OFGNKLEL_02086	K03517
OFGNKLEL_02088	K01715
OFGNKLEL_02089	K00198
OFGNKLEL_02097	K00266
OFGNKLEL_02098	K00266
OFGNKLEL_02104	K02806
OFGNKLEL_02105	K19166
OFGNKLEL_02107	K00331
OFGNKLEL_02109	K12141
OFGNKLEL_02112	K11071
OFGNKLEL_02113	K11071
OFGNKLEL_02114	K11070
OFGNKLEL_02116	K08483
OFGNKLEL_02117	K03664
OFGNKLEL_02128	K01657
OFGNKLEL_02129	K01658
OFGNKLEL_02130	K00766
OFGNKLEL_02131	K01609
OFGNKLEL_02132	K01817
OFGNKLEL_02133	K01696
OFGNKLEL_02134	K01695
OFGNKLEL_02148	K11753
OFGNKLEL_02149	K01462
OFGNKLEL_02151	K00864
OFGNKLEL_02155	K16052
OFGNKLEL_02162	K01897
OFGNKLEL_02166	K02521
OFGNKLEL_02167	K03579
OFGNKLEL_02168	K18453
OFGNKLEL_02169	K06077
OFGNKLEL_02170	K00990
OFGNKLEL_02174	K03424
OFGNKLEL_02182	K02488
OFGNKLEL_02183	K01703
OFGNKLEL_02184	K01704
OFGNKLEL_02188	K03388
OFGNKLEL_02196	K03581
OFGNKLEL_02198	K05946
OFGNKLEL_02201	K21498
OFGNKLEL_02202	K07133
OFGNKLEL_02204	K07133
OFGNKLEL_02208	K09761
OFGNKLEL_02210	K15738
OFGNKLEL_02212	K18967
OFGNKLEL_02216	K07692
OFGNKLEL_02221	K03687
OFGNKLEL_02222	K04043
OFGNKLEL_02223	K03272
OFGNKLEL_02226	K03273
OFGNKLEL_02227	K03642
OFGNKLEL_02228	K01338
OFGNKLEL_02230	K00176
OFGNKLEL_02231	K00174
OFGNKLEL_02232	K00175
OFGNKLEL_02233	K00177
OFGNKLEL_02235	K00248
OFGNKLEL_02237	K00826
OFGNKLEL_02239	K01297
OFGNKLEL_02245	K03616
OFGNKLEL_02246	K03617
OFGNKLEL_02249	K01653
OFGNKLEL_02250	K01652
OFGNKLEL_02252	K21681
OFGNKLEL_02256	K01775
OFGNKLEL_02257	K04069
OFGNKLEL_02258	K21636
OFGNKLEL_02262	K00104
OFGNKLEL_02266	K00548
OFGNKLEL_02268	K03857
OFGNKLEL_02270	K01791
OFGNKLEL_02272	K07713
OFGNKLEL_02273	K07710
OFGNKLEL_02275	K02433
OFGNKLEL_02281	K00819
OFGNKLEL_02282	K01207
OFGNKLEL_02284	K01409
OFGNKLEL_02285	K01933
OFGNKLEL_02286	K00854
OFGNKLEL_02290	K03522
OFGNKLEL_02291	K03777
OFGNKLEL_02293	K07714
OFGNKLEL_02294	K07710
OFGNKLEL_02296	K03219
OFGNKLEL_02299	K00241
OFGNKLEL_02302	K03088
OFGNKLEL_02306	K02003
OFGNKLEL_02308	K02004
OFGNKLEL_02310	K07240
OFGNKLEL_02312	K04763
OFGNKLEL_02318	K07680
OFGNKLEL_02320	K07713
OFGNKLEL_02321	K02491
OFGNKLEL_02322	K00558
OFGNKLEL_02337	K07497
OFGNKLEL_02340	K04084
OFGNKLEL_02344	K17686
OFGNKLEL_02348	K13529
OFGNKLEL_02350	K06895
OFGNKLEL_02351	K07309
OFGNKLEL_02352	K18560
OFGNKLEL_02353	K18330
OFGNKLEL_02354	K18331
OFGNKLEL_02356	K01951
OFGNKLEL_02361	K03980
OFGNKLEL_02362	K06877
OFGNKLEL_02364	K06972
OFGNKLEL_02368	K07139
OFGNKLEL_02370	K03495
OFGNKLEL_02371	K05516
OFGNKLEL_02372	K00760
OFGNKLEL_02373	K22468
OFGNKLEL_02374	K22468
OFGNKLEL_02376	K00626
OFGNKLEL_02377	K00626
OFGNKLEL_02380	K02469
OFGNKLEL_02381	K03630
OFGNKLEL_02383	K00927
OFGNKLEL_02385	K00619
OFGNKLEL_02387	K05591
OFGNKLEL_02388	K09768
OFGNKLEL_02393	K01975
OFGNKLEL_02394	K02232
OFGNKLEL_02395	K19221
OFGNKLEL_02396	K13541
OFGNKLEL_02399	K03551
OFGNKLEL_02400	K03550
OFGNKLEL_02401	K01159
OFGNKLEL_02403	K11755
OFGNKLEL_02404	K00765
OFGNKLEL_02408	K00382
OFGNKLEL_02409	K00627
OFGNKLEL_02410	K00162
OFGNKLEL_02411	K00161
OFGNKLEL_02415	K02536
OFGNKLEL_02418	K01883
OFGNKLEL_02422	K15583
OFGNKLEL_02423	K02032
OFGNKLEL_02427	K07636
OFGNKLEL_02428	K02483
OFGNKLEL_02433	K08963
OFGNKLEL_02437	K03218
OFGNKLEL_02438	K01916
OFGNKLEL_02440	K11440
OFGNKLEL_02443	K07814
OFGNKLEL_02444	K06207
OFGNKLEL_02449	K00986
OFGNKLEL_02452	K00104
OFGNKLEL_02455	K01715
OFGNKLEL_02456	K03596
OFGNKLEL_02458	K00761
OFGNKLEL_02460	K16239
OFGNKLEL_02461	K00974
OFGNKLEL_02465	K00266
OFGNKLEL_02467	K05601
OFGNKLEL_02473	K03808
OFGNKLEL_02474	K06192
OFGNKLEL_02479	K07669
OFGNKLEL_02492	K00243
OFGNKLEL_02496	K13281
OFGNKLEL_02501	K14491
OFGNKLEL_02502	K11720
OFGNKLEL_02505	K00901
OFGNKLEL_02506	K02483
OFGNKLEL_02507	K07636
OFGNKLEL_02508	K12996
OFGNKLEL_02510	K08280
OFGNKLEL_02513	K01468
OFGNKLEL_02514	K01712
OFGNKLEL_02517	K11529
OFGNKLEL_02518	K01689
OFGNKLEL_02523	K03497
OFGNKLEL_02527	K10747
OFGNKLEL_02529	K02003
OFGNKLEL_02532	K02189
OFGNKLEL_02533	K05936
OFGNKLEL_02535	K01262
OFGNKLEL_02536	K00812
OFGNKLEL_02538	K02945
OFGNKLEL_02539	K04773
OFGNKLEL_02542	K03738
OFGNKLEL_02544	K01937
OFGNKLEL_02545	K07658
OFGNKLEL_02547	K13654
OFGNKLEL_02548	K07238
OFGNKLEL_02554	K02337
OFGNKLEL_02555	K07787
OFGNKLEL_02560	K00548
OFGNKLEL_02564	K06147
OFGNKLEL_02567	K00962
OFGNKLEL_02570	K13533
OFGNKLEL_02575	K03442
OFGNKLEL_02577	K01879
OFGNKLEL_02579	K01241
OFGNKLEL_02582	K00648
OFGNKLEL_02583	K01563
OFGNKLEL_02584	K03637
OFGNKLEL_02585	K09760
OFGNKLEL_02586	K08304
OFGNKLEL_02587	K11072
OFGNKLEL_02589	K00266
OFGNKLEL_02590	K17723
OFGNKLEL_02591	K01464
OFGNKLEL_02592	K18967
OFGNKLEL_02593	K17828
OFGNKLEL_02594	K02823
OFGNKLEL_02595	K00762
OFGNKLEL_02596	K19304
OFGNKLEL_02597	K00145
OFGNKLEL_02598	K09972
OFGNKLEL_02599	K09971
OFGNKLEL_02601	K06960
OFGNKLEL_02603	K00147
OFGNKLEL_02612	K01897
OFGNKLEL_02618	K00314
OFGNKLEL_02620	K00111
OFGNKLEL_02621	K03521
OFGNKLEL_02622	K03522
OFGNKLEL_02623	K07652
OFGNKLEL_02630	K09707
OFGNKLEL_02635	K00171
OFGNKLEL_02636	K00169
OFGNKLEL_02637	K00170
OFGNKLEL_02640	K02427
OFGNKLEL_02641	K04485
OFGNKLEL_02648	K01153
OFGNKLEL_02649	K03655
OFGNKLEL_02651	K03427
OFGNKLEL_02652	K01154
OFGNKLEL_02656	K07491
OFGNKLEL_02666	K13444
OFGNKLEL_02667	K04486
OFGNKLEL_02668	K00813
OFGNKLEL_02672	K03671
OFGNKLEL_02674	K03559
OFGNKLEL_02675	K03562
OFGNKLEL_02676	K04077
OFGNKLEL_02677	K04078
OFGNKLEL_02680	K04087
OFGNKLEL_02683	K02238
OFGNKLEL_02684	K07710
OFGNKLEL_02685	K02491
OFGNKLEL_02686	K22224
OFGNKLEL_02689	K00919
OFGNKLEL_02691	K00948
OFGNKLEL_02692	K02897
OFGNKLEL_02693	K01056
OFGNKLEL_02694	K07736
OFGNKLEL_02695	K06180
OFGNKLEL_02696	K00249
OFGNKLEL_02697	K01966
OFGNKLEL_02700	K02871
OFGNKLEL_02701	K02996
OFGNKLEL_02703	K03394
OFGNKLEL_02708	K08301
OFGNKLEL_02709	K02914
OFGNKLEL_02710	K03536
OFGNKLEL_02711	K08998
OFGNKLEL_02712	K03738
OFGNKLEL_02714	K01738
OFGNKLEL_02718	K03522
OFGNKLEL_02719	K03521
OFGNKLEL_02721	K01752
OFGNKLEL_02722	K01799
OFGNKLEL_02723	K01262
OFGNKLEL_02727	K06949
OFGNKLEL_02744	K07282
OFGNKLEL_02749	K08219
OFGNKLEL_02750	K03701
OFGNKLEL_02752	K12483
OFGNKLEL_02754	K07133
OFGNKLEL_02761	K00986
OFGNKLEL_02769	K03575
OFGNKLEL_02772	K03924
OFGNKLEL_02778	K07133
OFGNKLEL_02780	K01867
OFGNKLEL_02781	K06178
OFGNKLEL_02787	K00382
OFGNKLEL_02794	K10773
OFGNKLEL_02795	K03688
OFGNKLEL_02799	K08218
OFGNKLEL_02801	K18889
OFGNKLEL_02804	K01998
OFGNKLEL_02806	K01996
OFGNKLEL_02808	K07814
OFGNKLEL_02818	K07056
OFGNKLEL_02819	K07460
OFGNKLEL_02820	K03470
OFGNKLEL_02821	K02884
OFGNKLEL_02823	K00554
OFGNKLEL_02824	K00265
OFGNKLEL_02826	K02302
OFGNKLEL_02828	K02492
OFGNKLEL_02829	K06204
OFGNKLEL_02835	K00548
OFGNKLEL_02837	K11175
OFGNKLEL_02849	K07680
OFGNKLEL_02850	K07182
OFGNKLEL_02851	K14393
OFGNKLEL_02853	K00134
OFGNKLEL_02854	K07321
OFGNKLEL_02856	K01154
OFGNKLEL_02858	K04021
OFGNKLEL_02859	K04021
OFGNKLEL_02865	K05813
OFGNKLEL_02866	K10112
OFGNKLEL_02868	K03296
OFGNKLEL_02871	K07814
OFGNKLEL_02872	K09918
OFGNKLEL_02874	K03092
OFGNKLEL_02875	K06861
OFGNKLEL_02878	K03270
OFGNKLEL_02879	K01627
OFGNKLEL_02883	K17103
OFGNKLEL_02885	K00174
OFGNKLEL_02890	K01997
OFGNKLEL_02891	K01998
OFGNKLEL_02892	K01995
OFGNKLEL_02893	K01996
OFGNKLEL_02894	K01897
OFGNKLEL_02899	K00606
OFGNKLEL_02907	K00020
OFGNKLEL_02912	K07089
OFGNKLEL_02914	K03892
OFGNKLEL_02915	K03741
OFGNKLEL_02918	K00175
OFGNKLEL_02919	K00790
OFGNKLEL_02921	K01847
OFGNKLEL_02922	K07588
OFGNKLEL_02924	K02768
OFGNKLEL_02925	K06958
OFGNKLEL_02926	K11194
OFGNKLEL_02927	K00134
OFGNKLEL_02928	K01803
OFGNKLEL_02931	K03544
OFGNKLEL_02933	K01698
OFGNKLEL_02935	K00895
OFGNKLEL_02937	K07095
OFGNKLEL_02938	K01647
OFGNKLEL_02941	K00101
OFGNKLEL_02942	K07493
OFGNKLEL_02945	K00548
OFGNKLEL_02946	K16052
OFGNKLEL_02948	K00048
OFGNKLEL_02949	K03738
OFGNKLEL_02951	K22314
OFGNKLEL_02954	K06001
OFGNKLEL_02958	K07709
OFGNKLEL_02959	K07662
OFGNKLEL_02961	K00135
OFGNKLEL_02962	K15634
OFGNKLEL_02963	K03394
OFGNKLEL_02964	K00314
OFGNKLEL_02967	K07714
OFGNKLEL_02969	K13611
OFGNKLEL_02970	K07402
OFGNKLEL_02972	K01845
OFGNKLEL_02975	K01915
OFGNKLEL_02976	K08305
OFGNKLEL_02981	K18234
OFGNKLEL_02985	K03976
OFGNKLEL_02990	K00219
OFGNKLEL_02991	K10805
OFGNKLEL_02993	K02049
OFGNKLEL_02995	K07334
OFGNKLEL_02996	K21498
OFGNKLEL_03000	K01868
OFGNKLEL_03001	K03497
OFGNKLEL_03004	K06173
OFGNKLEL_03005	K15333
OFGNKLEL_03007	K01092
OFGNKLEL_03008	K05796
OFGNKLEL_03017	K11782
OFGNKLEL_03018	K20810
OFGNKLEL_03024	K15726
OFGNKLEL_03028	K15580
OFGNKLEL_03029	K02033
OFGNKLEL_03031	K19158
OFGNKLEL_03032	K19159
OFGNKLEL_03036	K04015
OFGNKLEL_03039	K01843
OFGNKLEL_03042	K03525
OFGNKLEL_03043	K03327
OFGNKLEL_03045	K02199
OFGNKLEL_03047	K03611
OFGNKLEL_03049	K01251
OFGNKLEL_03050	K01759
OFGNKLEL_03052	K02348
OFGNKLEL_03060	K02002
OFGNKLEL_03061	K02000
OFGNKLEL_03062	K02001
OFGNKLEL_03071	K07636
OFGNKLEL_03072	K02483
OFGNKLEL_03076	K18330
OFGNKLEL_03077	K18331
OFGNKLEL_03084	K00574
OFGNKLEL_03093	K07714
OFGNKLEL_03095	K01997
OFGNKLEL_03096	K12368
OFGNKLEL_03097	K12369
OFGNKLEL_03098	K05817
OFGNKLEL_03104	K07636
OFGNKLEL_03114	K03650
OFGNKLEL_03118	K03306
OFGNKLEL_03126	K00657
OFGNKLEL_03127	K05592
OFGNKLEL_03129	K02068
OFGNKLEL_03130	K02069
OFGNKLEL_03131	K03043
OFGNKLEL_03133	K07171
OFGNKLEL_03134	K18842
OFGNKLEL_03140	K07458
OFGNKLEL_03141	K00558
OFGNKLEL_03143	K05605
OFGNKLEL_03144	K03499
OFGNKLEL_03145	K13599
OFGNKLEL_03148	K07709
OFGNKLEL_03149	K02481
OFGNKLEL_03150	K07090
OFGNKLEL_03153	K07714
OFGNKLEL_03160	K02435
OFGNKLEL_03161	K02433
