LOIDMEJA_00001	K16046
LOIDMEJA_01878	K02198
LOIDMEJA_01879	K02199
LOIDMEJA_01880	K04017
LOIDMEJA_01883	K00681
LOIDMEJA_01893	K00074
LOIDMEJA_01897	K02433
LOIDMEJA_01899	K22314
LOIDMEJA_01901	K00605
LOIDMEJA_01904	K03778
LOIDMEJA_01905	K03811
LOIDMEJA_01907	K01756
LOIDMEJA_01908	K18850
LOIDMEJA_01912	K16593
LOIDMEJA_01916	K00059
LOIDMEJA_01917	K00059
LOIDMEJA_01918	K00433
LOIDMEJA_01920	K01652
LOIDMEJA_01921	K04761
LOIDMEJA_01925	K03520
LOIDMEJA_01926	K03530
LOIDMEJA_01927	K03770
LOIDMEJA_01928	K08307
LOIDMEJA_01929	K02335
LOIDMEJA_01930	K00681
LOIDMEJA_01933	K00059
LOIDMEJA_01935	K01897
LOIDMEJA_01937	K03667
LOIDMEJA_01939	K03183
LOIDMEJA_01940	K03688
LOIDMEJA_01941	K01496
LOIDMEJA_01942	K01523
LOIDMEJA_01944	K03117
LOIDMEJA_01945	K03118
LOIDMEJA_01946	K07560
LOIDMEJA_01947	K01259
LOIDMEJA_01948	K06207
LOIDMEJA_01951	K00282
LOIDMEJA_01952	K02437
LOIDMEJA_01953	K00605
LOIDMEJA_01954	K06126
LOIDMEJA_01955	K01262
LOIDMEJA_01959	K01934
LOIDMEJA_01961	K01462
LOIDMEJA_01962	K01754
LOIDMEJA_01964	K01408
LOIDMEJA_01965	K00025
LOIDMEJA_01967	K11407
LOIDMEJA_01969	K16639
LOIDMEJA_01971	K17623
LOIDMEJA_01972	K07124
LOIDMEJA_01973	K01724
LOIDMEJA_01986	K03310
LOIDMEJA_01992	K16871
LOIDMEJA_01998	K09781
LOIDMEJA_02002	K00059
LOIDMEJA_02007	K16052
LOIDMEJA_02010	K03723
LOIDMEJA_02013	K01796
LOIDMEJA_02016	K01908
LOIDMEJA_02018	K00537
LOIDMEJA_02019	K07058
LOIDMEJA_02021	K01881
LOIDMEJA_02025	K01876
LOIDMEJA_02027	K07178
LOIDMEJA_02028	K19245
LOIDMEJA_02030	K01772
LOIDMEJA_02032	K00387
LOIDMEJA_02033	K00666
LOIDMEJA_02035	K03310
LOIDMEJA_02036	K01779
LOIDMEJA_02039	K01474
LOIDMEJA_02040	K01473
LOIDMEJA_02041	K18703
LOIDMEJA_02042	K01007
LOIDMEJA_02043	K01274
LOIDMEJA_02044	K13444
LOIDMEJA_02046	K08322
LOIDMEJA_02047	K00342
LOIDMEJA_02048	K00343
LOIDMEJA_02051	K02503
LOIDMEJA_02052	K01480
LOIDMEJA_02056	K05898
LOIDMEJA_02058	K06173
LOIDMEJA_02060	K06867
LOIDMEJA_02063	K11720
LOIDMEJA_02081	K00249
LOIDMEJA_02082	K09456
LOIDMEJA_02083	K03315
LOIDMEJA_02086	K01897
LOIDMEJA_02087	K15537
LOIDMEJA_02091	K07260
LOIDMEJA_02096	K02371
LOIDMEJA_02097	K00287
LOIDMEJA_02098	K01887
LOIDMEJA_02099	K01897
LOIDMEJA_02100	K18702
LOIDMEJA_02101	K13703
LOIDMEJA_02103	K07098
LOIDMEJA_02107	K00262
LOIDMEJA_02109	K07749
LOIDMEJA_02110	K01692
LOIDMEJA_02111	K15468
LOIDMEJA_02113	K16593
LOIDMEJA_02116	K03442
LOIDMEJA_02119	K02433
LOIDMEJA_02121	K01132
LOIDMEJA_02122	K05349
LOIDMEJA_02124	K01921
LOIDMEJA_02125	K03320
LOIDMEJA_02129	K01483
LOIDMEJA_02130	K03657
LOIDMEJA_02135	K02851
LOIDMEJA_02139	K05810
LOIDMEJA_02140	K06180
LOIDMEJA_02144	K00059
LOIDMEJA_02147	K00626
LOIDMEJA_02149	K21119
LOIDMEJA_02152	K03119
LOIDMEJA_02157	K01025
LOIDMEJA_02163	K02259
LOIDMEJA_02168	K14540
LOIDMEJA_02171	K01893
LOIDMEJA_02174	K01740
LOIDMEJA_02176	K01159
LOIDMEJA_02177	K03550
LOIDMEJA_02178	K03551
LOIDMEJA_02179	K03562
LOIDMEJA_02180	K03560
LOIDMEJA_02182	K03641
LOIDMEJA_02183	K03640
LOIDMEJA_02186	K11517
LOIDMEJA_02188	K03286
LOIDMEJA_02190	K00605
LOIDMEJA_02193	K07729
LOIDMEJA_02201	K00666
LOIDMEJA_02203	K00259
LOIDMEJA_02206	K03820
LOIDMEJA_02207	K06189
LOIDMEJA_02208	K07042
LOIDMEJA_02209	K06217
LOIDMEJA_02210	K06168
LOIDMEJA_02212	K00950
LOIDMEJA_02213	K00121
LOIDMEJA_02215	K07511
LOIDMEJA_02220	K02032
LOIDMEJA_02221	K15583
LOIDMEJA_02222	K15582
LOIDMEJA_02223	K15581
LOIDMEJA_02226	K03568
LOIDMEJA_02227	K03592
LOIDMEJA_02228	K01661
LOIDMEJA_02233	K16047
LOIDMEJA_02235	K01965
LOIDMEJA_02236	K05606
LOIDMEJA_02237	K01847
LOIDMEJA_02239	K00031
LOIDMEJA_02243	K20497
LOIDMEJA_02244	K03704
LOIDMEJA_02245	K15866
LOIDMEJA_02246	K02666
LOIDMEJA_02248	K02664
LOIDMEJA_02249	K02663
LOIDMEJA_02250	K02662
LOIDMEJA_02251	K05366
LOIDMEJA_02252	K02909
LOIDMEJA_02253	K04066
LOIDMEJA_02255	K01419
LOIDMEJA_02257	K06969
LOIDMEJA_02262	K00140
LOIDMEJA_02263	K00833
LOIDMEJA_02266	K01262
LOIDMEJA_02270	K01240
LOIDMEJA_02271	K04124
LOIDMEJA_02272	K07101
LOIDMEJA_02273	K06901
LOIDMEJA_02275	K01488
LOIDMEJA_02276	K04754
LOIDMEJA_02277	K03578
LOIDMEJA_02280	K00325
LOIDMEJA_02281	K00324
LOIDMEJA_02282	K00324
LOIDMEJA_02283	K01966
LOIDMEJA_02291	K01796
LOIDMEJA_02292	K00249
LOIDMEJA_02294	K01661
LOIDMEJA_02295	K01113
LOIDMEJA_02298	K00059
LOIDMEJA_02301	K15866
LOIDMEJA_02302	K23016
LOIDMEJA_02304	K01823
LOIDMEJA_02305	K00054
LOIDMEJA_02306	K00869
LOIDMEJA_02307	K01597
LOIDMEJA_02309	K11517
LOIDMEJA_02313	K06158
LOIDMEJA_02314	K04077
LOIDMEJA_02316	K04085
LOIDMEJA_02318	K09906
LOIDMEJA_02320	K02335
LOIDMEJA_02322	K12736
LOIDMEJA_02324	K00799
LOIDMEJA_02325	K00857
LOIDMEJA_02335	K00059
LOIDMEJA_02339	K01591
LOIDMEJA_02341	K01142
LOIDMEJA_02344	K11527
LOIDMEJA_02353	K01897
LOIDMEJA_02354	K01996
LOIDMEJA_02365	K14445
LOIDMEJA_02369	K01640
LOIDMEJA_02370	K01703
LOIDMEJA_02371	K01704
LOIDMEJA_02380	K01251
LOIDMEJA_02382	K03315
LOIDMEJA_02391	K01666
LOIDMEJA_02392	K04073
LOIDMEJA_02393	K02554
LOIDMEJA_02394	K16050
LOIDMEJA_02397	K01644
LOIDMEJA_02398	K08151
LOIDMEJA_02403	K17224
LOIDMEJA_02404	K03575
LOIDMEJA_02410	K00626
LOIDMEJA_02416	K01796
LOIDMEJA_02417	K03519
LOIDMEJA_02418	K03520
LOIDMEJA_02420	K00059
LOIDMEJA_02421	K00276
LOIDMEJA_02422	K00666
LOIDMEJA_02425	K01130
LOIDMEJA_02426	K01563
LOIDMEJA_02429	K00330
LOIDMEJA_02430	K00244
LOIDMEJA_02431	K00059
LOIDMEJA_02432	K00059
LOIDMEJA_02434	K07568
LOIDMEJA_02435	K00773
LOIDMEJA_02436	K03210
LOIDMEJA_02443	K07119
LOIDMEJA_02444	K00128
LOIDMEJA_02452	K01488
LOIDMEJA_02457	K03307
LOIDMEJA_02465	K08309
LOIDMEJA_02466	K03424
LOIDMEJA_02468	K06158
LOIDMEJA_02469	K04077
LOIDMEJA_02470	K04078
LOIDMEJA_02471	K07443
LOIDMEJA_02472	K08218
LOIDMEJA_02476	K03469
LOIDMEJA_02477	K00995
LOIDMEJA_02478	K01869
LOIDMEJA_02483	K14286
LOIDMEJA_02485	K22818
LOIDMEJA_02487	K00219
LOIDMEJA_02491	K02653
LOIDMEJA_02492	K02652
LOIDMEJA_02493	K13482
LOIDMEJA_02494	K13481
LOIDMEJA_02496	K01439
LOIDMEJA_02497	K00674
LOIDMEJA_02498	K14267
LOIDMEJA_02499	K00990
LOIDMEJA_02501	K18703
LOIDMEJA_02503	K03317
LOIDMEJA_02504	K01839
LOIDMEJA_02509	K02014
LOIDMEJA_02511	K05708
LOIDMEJA_02514	K01255
LOIDMEJA_02515	K02339
LOIDMEJA_02517	K01433
LOIDMEJA_02518	K01873
LOIDMEJA_02523	K00982
LOIDMEJA_02524	K02843
LOIDMEJA_02525	K02841
LOIDMEJA_02529	K00059
LOIDMEJA_02530	K00108
LOIDMEJA_02540	K19245
LOIDMEJA_02541	K11209
LOIDMEJA_02549	K00121
LOIDMEJA_02550	K00249
LOIDMEJA_02559	K00979
LOIDMEJA_02563	K00075
LOIDMEJA_02564	K09017
LOIDMEJA_02565	K01487
LOIDMEJA_02567	K06966
LOIDMEJA_02568	K09125
LOIDMEJA_02569	K01131
LOIDMEJA_02570	K07095
LOIDMEJA_02571	K00632
LOIDMEJA_02575	K00249
LOIDMEJA_02576	K03639
LOIDMEJA_02578	K01969
LOIDMEJA_02579	K00253
LOIDMEJA_02585	K03767
LOIDMEJA_02592	K03561
LOIDMEJA_02593	K18703
LOIDMEJA_02596	K16264
LOIDMEJA_02601	K11166
LOIDMEJA_02605	K03296
LOIDMEJA_02608	K00145
LOIDMEJA_02612	K22022
LOIDMEJA_02622	K05776
LOIDMEJA_02624	K03317
LOIDMEJA_02625	K15866
LOIDMEJA_02626	K09898
LOIDMEJA_02627	K00117
LOIDMEJA_02632	K01469
LOIDMEJA_02638	K01190
LOIDMEJA_02643	K00384
LOIDMEJA_02646	K06132
LOIDMEJA_02656	K00465
LOIDMEJA_02662	K07659
LOIDMEJA_02665	K04764
LOIDMEJA_02666	K01890
LOIDMEJA_02667	K01889
LOIDMEJA_02668	K02887
LOIDMEJA_02669	K02916
LOIDMEJA_02671	K02621
LOIDMEJA_02672	K02622
LOIDMEJA_02682	K09018
LOIDMEJA_02683	K12373
LOIDMEJA_02684	K03775
LOIDMEJA_02690	K06147
LOIDMEJA_02692	K06147
LOIDMEJA_02695	K01480
LOIDMEJA_02698	K01634
LOIDMEJA_02699	K00059
LOIDMEJA_02700	K00059
LOIDMEJA_02702	K02083
LOIDMEJA_02704	K16871
LOIDMEJA_02705	K01634
LOIDMEJA_02706	K00135
LOIDMEJA_02711	K15726
LOIDMEJA_02721	K20715
LOIDMEJA_02724	K05522
LOIDMEJA_02726	K01669
LOIDMEJA_02727	K01426
LOIDMEJA_02731	K00314
LOIDMEJA_02734	K13049
LOIDMEJA_02735	K07402
LOIDMEJA_02736	K13484
LOIDMEJA_02737	K07127
LOIDMEJA_02738	K01487
LOIDMEJA_02749	K07119
LOIDMEJA_02752	K16210
LOIDMEJA_02754	K01104
LOIDMEJA_02755	K14733
LOIDMEJA_02757	K02424
LOIDMEJA_02758	K03974
LOIDMEJA_02759	K03969
LOIDMEJA_02766	K00128
LOIDMEJA_02767	K00626
LOIDMEJA_02768	K16090
LOIDMEJA_02769	K00248
LOIDMEJA_02782	K03310
LOIDMEJA_02783	K08306
LOIDMEJA_02790	K09471
LOIDMEJA_02801	K02988
LOIDMEJA_02802	K02881
LOIDMEJA_02803	K02933
LOIDMEJA_02804	K02994
LOIDMEJA_02805	K02954
LOIDMEJA_02806	K02931
LOIDMEJA_02807	K02895
LOIDMEJA_02808	K02874
LOIDMEJA_02809	K02961
LOIDMEJA_02810	K02904
LOIDMEJA_02811	K02878
LOIDMEJA_02812	K02982
LOIDMEJA_02813	K07497
LOIDMEJA_02821	K03559
LOIDMEJA_02827	K02257
LOIDMEJA_02828	K02259
LOIDMEJA_02829	K11960
LOIDMEJA_02839	K02666
LOIDMEJA_02848	K07010
LOIDMEJA_02852	K02069
LOIDMEJA_02857	K01138
LOIDMEJA_02863	K02851
LOIDMEJA_02865	K03655
LOIDMEJA_02868	K00027
LOIDMEJA_02874	K02025
LOIDMEJA_02875	K05815
LOIDMEJA_02876	K10112
LOIDMEJA_02877	K00059
LOIDMEJA_02879	K06415
LOIDMEJA_02880	K09786
LOIDMEJA_02885	K01652
LOIDMEJA_02886	K00817
LOIDMEJA_02887	K16049
LOIDMEJA_02889	K00788
LOIDMEJA_02891	K11928
LOIDMEJA_02897	K01711
LOIDMEJA_02898	K02851
LOIDMEJA_02900	K01784
LOIDMEJA_02904	K00099
LOIDMEJA_02912	K11175
LOIDMEJA_02915	K07277
LOIDMEJA_02916	K06142
LOIDMEJA_02917	K06142
LOIDMEJA_02927	K03701
LOIDMEJA_02929	K00956
LOIDMEJA_02930	K00957
LOIDMEJA_02933	K00789
LOIDMEJA_02934	K11189
LOIDMEJA_02935	K00014
LOIDMEJA_02937	K22444
LOIDMEJA_02940	K02003
LOIDMEJA_02942	K00817
LOIDMEJA_02943	K04517
LOIDMEJA_02949	K05813
LOIDMEJA_02950	K10112
LOIDMEJA_02951	K00019
LOIDMEJA_02952	K01708
LOIDMEJA_02953	K10119
LOIDMEJA_02954	K10118
LOIDMEJA_02955	K01466
LOIDMEJA_02962	K03606
LOIDMEJA_02976	K04487
LOIDMEJA_02977	K03629
LOIDMEJA_02980	K00330
LOIDMEJA_02981	K00331
LOIDMEJA_02985	K04486
LOIDMEJA_02992	K19810
LOIDMEJA_02993	K02356
LOIDMEJA_02996	K11749
LOIDMEJA_02997	K13069
LOIDMEJA_02998	K03664
LOIDMEJA_03000	K10026
LOIDMEJA_03001	K00332
LOIDMEJA_03003	K17723
LOIDMEJA_03004	K00266
LOIDMEJA_03006	K22820
LOIDMEJA_03007	K22071
LOIDMEJA_03016	K01480
LOIDMEJA_03021	K11936
LOIDMEJA_03028	K13888
LOIDMEJA_03036	K14572
LOIDMEJA_03037	K01602
LOIDMEJA_03038	K01601
LOIDMEJA_03039	K01624
LOIDMEJA_03043	K03593
LOIDMEJA_03046	K01485
LOIDMEJA_03047	K11527
LOIDMEJA_03053	K00558
LOIDMEJA_03055	K02355
LOIDMEJA_03056	K02358
LOIDMEJA_03057	K02946
LOIDMEJA_03058	K01952
LOIDMEJA_03059	K01952
LOIDMEJA_03061	K15866
LOIDMEJA_03062	K00059
LOIDMEJA_03063	K00354
LOIDMEJA_03064	K03579
LOIDMEJA_03065	K00525
LOIDMEJA_03066	K02313
LOIDMEJA_03068	K02968
LOIDMEJA_03070	K10563
LOIDMEJA_03071	K03596
LOIDMEJA_03073	K00024
LOIDMEJA_03076	K01438
LOIDMEJA_03082	K00852
LOIDMEJA_03085	K03925
LOIDMEJA_03086	K03438
LOIDMEJA_03089	K01640
LOIDMEJA_03090	K18703
LOIDMEJA_03099	K07246
LOIDMEJA_03103	K01770
LOIDMEJA_03106	K03111
LOIDMEJA_03107	K02939
LOIDMEJA_03111	K22027
LOIDMEJA_03113	K00029
LOIDMEJA_03115	K02262
LOIDMEJA_03116	K07322
LOIDMEJA_03118	K00128
LOIDMEJA_03121	K02653
LOIDMEJA_03127	K10234
LOIDMEJA_03128	K10233
LOIDMEJA_03130	K12974
LOIDMEJA_03132	K15894
LOIDMEJA_03133	K15894
LOIDMEJA_03135	K02433
LOIDMEJA_03136	K02434
LOIDMEJA_03138	K02083
LOIDMEJA_03139	K01464
LOIDMEJA_03143	K07652
LOIDMEJA_03147	K01495
LOIDMEJA_03148	K00645
LOIDMEJA_03149	K01104
LOIDMEJA_03152	K01684
LOIDMEJA_03160	K03046
LOIDMEJA_03161	K02950
LOIDMEJA_03181	K06023
LOIDMEJA_03182	K02793
LOIDMEJA_03183	K11189
LOIDMEJA_03184	K01251
LOIDMEJA_03185	K06925
LOIDMEJA_03186	K22397
LOIDMEJA_03187	K01464
LOIDMEJA_03189	K02600
LOIDMEJA_03190	K09748
LOIDMEJA_03194	K00320
LOIDMEJA_03195	K19784
LOIDMEJA_03198	K00077
LOIDMEJA_03199	K02549
LOIDMEJA_03201	K00102
LOIDMEJA_03209	K03654
LOIDMEJA_03210	K05366
LOIDMEJA_03211	K00133
LOIDMEJA_03212	K03596
LOIDMEJA_03213	K00873
LOIDMEJA_03215	K01951
LOIDMEJA_03218	K00059
LOIDMEJA_03226	K22470
LOIDMEJA_03231	K02564
LOIDMEJA_03232	K01759
LOIDMEJA_03233	K00845
LOIDMEJA_03235	K13236
LOIDMEJA_03236	K07471
