CLBEIFOI_00001	K11173
CLBEIFOI_01524	K03092
CLBEIFOI_01526	K02557
CLBEIFOI_01528	K12410
CLBEIFOI_01529	K02028
CLBEIFOI_01530	K10009
CLBEIFOI_01531	K10009
CLBEIFOI_01539	K05770
CLBEIFOI_01544	K00605
CLBEIFOI_01546	K01652
CLBEIFOI_01547	K00101
CLBEIFOI_01551	K02314
CLBEIFOI_01552	K01775
CLBEIFOI_01553	K02066
CLBEIFOI_01554	K02065
CLBEIFOI_01555	K04485
CLBEIFOI_01557	K00764
CLBEIFOI_01558	K00059
CLBEIFOI_01559	K03787
CLBEIFOI_01560	K00573
CLBEIFOI_01561	K06194
CLBEIFOI_01562	K06923
CLBEIFOI_01563	K03118
CLBEIFOI_01566	K02010
CLBEIFOI_01567	K00059
CLBEIFOI_01568	K02837
CLBEIFOI_01571	K05592
CLBEIFOI_01572	K12574
CLBEIFOI_01573	K03525
CLBEIFOI_01574	K03524
CLBEIFOI_01575	K05573
CLBEIFOI_01582	K19302
CLBEIFOI_01584	K07714
CLBEIFOI_01585	K02482
CLBEIFOI_01586	K01952
CLBEIFOI_01587	K01952
CLBEIFOI_01588	K01923
CLBEIFOI_01589	K00548
CLBEIFOI_01590	K00548
CLBEIFOI_01592	K02426
CLBEIFOI_01593	K03684
CLBEIFOI_01594	K11175
CLBEIFOI_01595	K01933
CLBEIFOI_01605	K04037
CLBEIFOI_01606	K03428
CLBEIFOI_01607	K08226
CLBEIFOI_01612	K04035
CLBEIFOI_01614	K00643
CLBEIFOI_01615	K08738
CLBEIFOI_01617	K04077
CLBEIFOI_01620	K06162
CLBEIFOI_01621	K01589
CLBEIFOI_01622	K01588
CLBEIFOI_01624	K04081
CLBEIFOI_01626	K00384
CLBEIFOI_01627	K03719
CLBEIFOI_01628	K05810
CLBEIFOI_01629	K18164
CLBEIFOI_01630	K13292
CLBEIFOI_01633	K00286
CLBEIFOI_01634	K06878
CLBEIFOI_01636	K01284
CLBEIFOI_01637	K21029
CLBEIFOI_01638	K01520
CLBEIFOI_01639	K13038
CLBEIFOI_01640	K03089
CLBEIFOI_01641	K02231
CLBEIFOI_01643	K07391
CLBEIFOI_01644	K01920
CLBEIFOI_01645	K07056
CLBEIFOI_01647	K00990
CLBEIFOI_01648	K03980
CLBEIFOI_01650	K01867
CLBEIFOI_01651	K00826
CLBEIFOI_01653	K22074
CLBEIFOI_01655	K03789
CLBEIFOI_01656	K07335
CLBEIFOI_01657	K01638
CLBEIFOI_01659	K07010
CLBEIFOI_01660	K07240
CLBEIFOI_01661	K01556
CLBEIFOI_01662	K11610
CLBEIFOI_01663	K00324
CLBEIFOI_01664	K00325
CLBEIFOI_01666	K02034
CLBEIFOI_01667	K02033
CLBEIFOI_01668	K02035
CLBEIFOI_01672	K01685
CLBEIFOI_01674	K00008
CLBEIFOI_01675	K05499
CLBEIFOI_01677	K00616
CLBEIFOI_01681	K02483
CLBEIFOI_01682	K07645
CLBEIFOI_01684	K07120
CLBEIFOI_01686	K01769
CLBEIFOI_01690	K01610
CLBEIFOI_01692	K01274
CLBEIFOI_01693	K01799
CLBEIFOI_01696	K00605
CLBEIFOI_01700	K09471
CLBEIFOI_01708	K07393
CLBEIFOI_01709	K00058
CLBEIFOI_01710	K02173
CLBEIFOI_01711	K02056
CLBEIFOI_01712	K10440
CLBEIFOI_01715	K00433
CLBEIFOI_01716	K02001
CLBEIFOI_01717	K02000
CLBEIFOI_01719	K05396
CLBEIFOI_01720	K21645
CLBEIFOI_01721	K05592
CLBEIFOI_01723	K03630
CLBEIFOI_01724	K03686
CLBEIFOI_01725	K04043
CLBEIFOI_01727	K01784
CLBEIFOI_01732	K02806
CLBEIFOI_01733	K05808
CLBEIFOI_01734	K06861
CLBEIFOI_01737	K03684
CLBEIFOI_01738	K00059
CLBEIFOI_01741	K11729
CLBEIFOI_01743	K07119
CLBEIFOI_01744	K01772
CLBEIFOI_01745	K18162
CLBEIFOI_01747	K03676
CLBEIFOI_01748	K11206
CLBEIFOI_01750	K05569
CLBEIFOI_01751	K05570
CLBEIFOI_01753	K05566
CLBEIFOI_01754	K05566
CLBEIFOI_01755	K05567
CLBEIFOI_01756	K05568
CLBEIFOI_01757	K00341
CLBEIFOI_01759	K14115
CLBEIFOI_01760	K09689
CLBEIFOI_01762	K11527
CLBEIFOI_01763	K00626
CLBEIFOI_01766	K01662
CLBEIFOI_01767	K13789
CLBEIFOI_01770	K11072
CLBEIFOI_01772	K11071
CLBEIFOI_01773	K11070
CLBEIFOI_01775	K01754
CLBEIFOI_01776	K18258
CLBEIFOI_01779	K16871
CLBEIFOI_01783	K16871
CLBEIFOI_01784	K13654
CLBEIFOI_01785	K11073
CLBEIFOI_01786	K11076
CLBEIFOI_01787	K11075
CLBEIFOI_01788	K11074
CLBEIFOI_01791	K07304
CLBEIFOI_01792	K07305
CLBEIFOI_01793	K01079
CLBEIFOI_01795	K00058
CLBEIFOI_01796	K07313
CLBEIFOI_01797	K07146
CLBEIFOI_01798	K00864
CLBEIFOI_01799	K00813
CLBEIFOI_01800	K01011
CLBEIFOI_01801	K03664
CLBEIFOI_01802	K00833
CLBEIFOI_01803	K06181
CLBEIFOI_01804	K01424
CLBEIFOI_01806	K06941
CLBEIFOI_01808	K00087
CLBEIFOI_01810	K04763
CLBEIFOI_01813	K00891
CLBEIFOI_01814	K01735
CLBEIFOI_01815	K03111
CLBEIFOI_01816	K00791
CLBEIFOI_01817	K09903
CLBEIFOI_01818	K02838
CLBEIFOI_01819	K00806
CLBEIFOI_01820	K00981
CLBEIFOI_01821	K00099
CLBEIFOI_01822	K11749
CLBEIFOI_01823	K07277
CLBEIFOI_01825	K02372
CLBEIFOI_01826	K00677
CLBEIFOI_01828	K00748
CLBEIFOI_01830	K00020
CLBEIFOI_01831	K05605
CLBEIFOI_01832	K11538
CLBEIFOI_01833	K00140
CLBEIFOI_01836	K00954
CLBEIFOI_01837	K00134
CLBEIFOI_01838	K00134
CLBEIFOI_01839	K00615
CLBEIFOI_01842	K07390
CLBEIFOI_01844	K01952
CLBEIFOI_01845	K01754
CLBEIFOI_01846	K01271
CLBEIFOI_01847	K01799
CLBEIFOI_01849	K00179
CLBEIFOI_01851	K01776
CLBEIFOI_01852	K00145
CLBEIFOI_01853	K02197
CLBEIFOI_01862	K02400
CLBEIFOI_01871	K03281
CLBEIFOI_01873	K02056
CLBEIFOI_01874	K02057
CLBEIFOI_01875	K02057
CLBEIFOI_01876	K07090
CLBEIFOI_01878	K08683
CLBEIFOI_01880	K06188
CLBEIFOI_01883	K08738
CLBEIFOI_01886	K07112
CLBEIFOI_01887	K00643
CLBEIFOI_01888	K17224
CLBEIFOI_01889	K17222
CLBEIFOI_01891	K17226
CLBEIFOI_01894	K06196
CLBEIFOI_01899	K09667
CLBEIFOI_01901	K00108
CLBEIFOI_01902	K00854
CLBEIFOI_01903	K00045
CLBEIFOI_01905	K10112
CLBEIFOI_01906	K00008
CLBEIFOI_01908	K10238
CLBEIFOI_01909	K02025
CLBEIFOI_01911	K11531
CLBEIFOI_01912	K00059
CLBEIFOI_01913	K00852
CLBEIFOI_01914	K16371
CLBEIFOI_01915	K15890
CLBEIFOI_01917	K00639
CLBEIFOI_01918	K00060
CLBEIFOI_01919	K19689
CLBEIFOI_01920	K01644
CLBEIFOI_01921	K07695
CLBEIFOI_01922	K00830
CLBEIFOI_01923	K01903
CLBEIFOI_01924	K01902
CLBEIFOI_01925	K00015
CLBEIFOI_01931	K02026
CLBEIFOI_01932	K10118
CLBEIFOI_01933	K10112
CLBEIFOI_01934	K10112
CLBEIFOI_01936	K13789
CLBEIFOI_01939	K02588
CLBEIFOI_01948	K01662
CLBEIFOI_01949	K08311
CLBEIFOI_01950	K03797
CLBEIFOI_01952	K15633
CLBEIFOI_01953	K00783
CLBEIFOI_01954	K09710
CLBEIFOI_01955	K01703
CLBEIFOI_01956	K01704
CLBEIFOI_01957	K00052
CLBEIFOI_01959	K08281
CLBEIFOI_01960	K00763
CLBEIFOI_01961	K06902
CLBEIFOI_01962	K07261
CLBEIFOI_01963	K15034
CLBEIFOI_01965	K03654
CLBEIFOI_01966	K09861
CLBEIFOI_01967	K02028
CLBEIFOI_01968	K10002
CLBEIFOI_01969	K10003
CLBEIFOI_01970	K10001
CLBEIFOI_01973	K02529
CLBEIFOI_01974	K01940
CLBEIFOI_01975	K01754
CLBEIFOI_01977	K07657
CLBEIFOI_01981	K00974
CLBEIFOI_01982	K18893
CLBEIFOI_01983	K18893
CLBEIFOI_01984	K03215
CLBEIFOI_01987	K16291
CLBEIFOI_01988	K16786
CLBEIFOI_01989	K16783
CLBEIFOI_01990	K03523
CLBEIFOI_01991	K00626
CLBEIFOI_01992	K01896
CLBEIFOI_01993	K02479
CLBEIFOI_01995	K11527
CLBEIFOI_01999	K00413
CLBEIFOI_02000	K00412
CLBEIFOI_02001	K00411
CLBEIFOI_02002	K00826
CLBEIFOI_02004	K07659
CLBEIFOI_02005	K00591
CLBEIFOI_02006	K01259
CLBEIFOI_02008	K02485
CLBEIFOI_02009	K02485
CLBEIFOI_02010	K02486
CLBEIFOI_02011	K01768
CLBEIFOI_02013	K00847
CLBEIFOI_02015	K00020
CLBEIFOI_02020	K11085
CLBEIFOI_02023	K11527
CLBEIFOI_02024	K03519
CLBEIFOI_02025	K03518
CLBEIFOI_02028	K07161
CLBEIFOI_02029	K07402
CLBEIFOI_02036	K04072
CLBEIFOI_02037	K22133
CLBEIFOI_02040	K00830
CLBEIFOI_02041	K03336
CLBEIFOI_02043	K01243
CLBEIFOI_02044	K21085
CLBEIFOI_02049	K02488
CLBEIFOI_02050	K01908
CLBEIFOI_02051	K01426
CLBEIFOI_02052	K00858
CLBEIFOI_02053	K00600
CLBEIFOI_02054	K11751
CLBEIFOI_02056	K00254
CLBEIFOI_02057	K03327
CLBEIFOI_02063	K00255
CLBEIFOI_02065	K00626
CLBEIFOI_02067	K01782
CLBEIFOI_02069	K01913
CLBEIFOI_02071	K00761
CLBEIFOI_02072	K01488
CLBEIFOI_02073	K01839
CLBEIFOI_02074	K00758
CLBEIFOI_02075	K01489
CLBEIFOI_02077	K00029
CLBEIFOI_02080	K03088
CLBEIFOI_02088	K01874
CLBEIFOI_02092	K00031
CLBEIFOI_02095	K00845
CLBEIFOI_02097	K01443
CLBEIFOI_02100	K11163
CLBEIFOI_02101	K00135
CLBEIFOI_02102	K00097
CLBEIFOI_02104	K01714
CLBEIFOI_02105	K12661
CLBEIFOI_02111	K11072
CLBEIFOI_02113	K11071
CLBEIFOI_02114	K11074
CLBEIFOI_02116	K11602
CLBEIFOI_02117	K11602
CLBEIFOI_02118	K11603
CLBEIFOI_02119	K11601
CLBEIFOI_02124	K00108
CLBEIFOI_02128	K09799
CLBEIFOI_02129	K00013
CLBEIFOI_02131	K00857
CLBEIFOI_02132	K03321
CLBEIFOI_02133	K00759
CLBEIFOI_02135	K00611
CLBEIFOI_02136	K00821
CLBEIFOI_02139	K06173
CLBEIFOI_02141	K03579
CLBEIFOI_02143	K07588
CLBEIFOI_02144	K02902
CLBEIFOI_02146	K09796
CLBEIFOI_02148	K01092
CLBEIFOI_02151	K00054
CLBEIFOI_02152	K09471
CLBEIFOI_02154	K11072
CLBEIFOI_02155	K11071
CLBEIFOI_02156	K02053
CLBEIFOI_02157	K02001
CLBEIFOI_02158	K02049
CLBEIFOI_02161	K19776
CLBEIFOI_02162	K01557
CLBEIFOI_02164	K21393
CLBEIFOI_02167	K00285
CLBEIFOI_02174	K01473
CLBEIFOI_02175	K01474
CLBEIFOI_02176	K18166
CLBEIFOI_02177	K18981
CLBEIFOI_02183	K02041
CLBEIFOI_02185	K02042
CLBEIFOI_02191	K02012
CLBEIFOI_02193	K06147
CLBEIFOI_02198	K21470
CLBEIFOI_02199	K02536
CLBEIFOI_02201	K09458
CLBEIFOI_02203	K00566
CLBEIFOI_02205	K02483
CLBEIFOI_02206	K01972
CLBEIFOI_02207	K03655
CLBEIFOI_02209	K11440
CLBEIFOI_02210	K00135
CLBEIFOI_02211	K01915
CLBEIFOI_02217	K07335
CLBEIFOI_02218	K02056
CLBEIFOI_02219	K02057
CLBEIFOI_02220	K02057
CLBEIFOI_02221	K01485
CLBEIFOI_02224	K13821
CLBEIFOI_02225	K18258
CLBEIFOI_02226	K01476
CLBEIFOI_02228	K02032
CLBEIFOI_02229	K02031
CLBEIFOI_02230	K02034
CLBEIFOI_02231	K02033
CLBEIFOI_02232	K15580
CLBEIFOI_02235	K19073
CLBEIFOI_02238	K02029
CLBEIFOI_02239	K02028
CLBEIFOI_02241	K03189
CLBEIFOI_02242	K03188
CLBEIFOI_02243	K03187
CLBEIFOI_02244	K01428
CLBEIFOI_02245	K01429
CLBEIFOI_02247	K01430
CLBEIFOI_02249	K11959
CLBEIFOI_02250	K11960
CLBEIFOI_02251	K11961
CLBEIFOI_02252	K11962
CLBEIFOI_02253	K11963
CLBEIFOI_02255	K00375
CLBEIFOI_02257	K03306
CLBEIFOI_02260	K11921
CLBEIFOI_02261	K10112
CLBEIFOI_02262	K02025
CLBEIFOI_02263	K05815
CLBEIFOI_02264	K10117
CLBEIFOI_02265	K07250
CLBEIFOI_02266	K00001
CLBEIFOI_02267	K01816
CLBEIFOI_02268	K00823
CLBEIFOI_02275	K16639
CLBEIFOI_02276	K07638
CLBEIFOI_02278	K00845
CLBEIFOI_02279	K03701
CLBEIFOI_02280	K11955
CLBEIFOI_02281	K11956
CLBEIFOI_02282	K01996
CLBEIFOI_02283	K01995
CLBEIFOI_02284	K11954
CLBEIFOI_02286	K01626
CLBEIFOI_02288	K00942
CLBEIFOI_02290	K01760
CLBEIFOI_02291	K07636
CLBEIFOI_02293	K02037
CLBEIFOI_02294	K02038
CLBEIFOI_02295	K02036
CLBEIFOI_02296	K02039
CLBEIFOI_02297	K07657
CLBEIFOI_02298	K00252
CLBEIFOI_02303	K22305
CLBEIFOI_02304	K01198
CLBEIFOI_02307	K10112
CLBEIFOI_02308	K10119
CLBEIFOI_02309	K10118
CLBEIFOI_02314	K07646
CLBEIFOI_02315	K07659
CLBEIFOI_02317	K02025
CLBEIFOI_02318	K10119
CLBEIFOI_02319	K10112
CLBEIFOI_02321	K00059
CLBEIFOI_02323	K13247
CLBEIFOI_02327	K00297
CLBEIFOI_02328	K03576
CLBEIFOI_02329	K03704
CLBEIFOI_02333	K09930
CLBEIFOI_02335	K01868
CLBEIFOI_02336	K13702
CLBEIFOI_02338	K00432
CLBEIFOI_02339	K08602
CLBEIFOI_02341	K10747
CLBEIFOI_02343	K02510
CLBEIFOI_02346	K17675
CLBEIFOI_02347	K04762
CLBEIFOI_02348	K05524
CLBEIFOI_02349	K07736
CLBEIFOI_02350	K02233
CLBEIFOI_02351	K00768
CLBEIFOI_02354	K03043
CLBEIFOI_02355	K02935
CLBEIFOI_02356	K02864
CLBEIFOI_02357	K02863
CLBEIFOI_02358	K03292
CLBEIFOI_02362	K09972
CLBEIFOI_02365	K00930
CLBEIFOI_02366	K03978
CLBEIFOI_02368	K03217
CLBEIFOI_02369	K14058
CLBEIFOI_02370	K08998
CLBEIFOI_02372	K02914
CLBEIFOI_02373	K02484
CLBEIFOI_02377	K03527
CLBEIFOI_02378	K07677
CLBEIFOI_02380	K00950
CLBEIFOI_02381	K03060
CLBEIFOI_02382	K01139
CLBEIFOI_02383	K09928
CLBEIFOI_02384	K03474
CLBEIFOI_02385	K00997
CLBEIFOI_02386	K03100
CLBEIFOI_02387	K03685
CLBEIFOI_02388	K03595
CLBEIFOI_02393	K01256
CLBEIFOI_02394	K02434
CLBEIFOI_02395	K05527
CLBEIFOI_02401	K02483
CLBEIFOI_02402	K07642
CLBEIFOI_02408	K00854
CLBEIFOI_02409	K10439
CLBEIFOI_02410	K10441
CLBEIFOI_02411	K10440
CLBEIFOI_02412	K00820
CLBEIFOI_02413	K04042
CLBEIFOI_02414	K01091
CLBEIFOI_02417	K00253
CLBEIFOI_02419	K01969
CLBEIFOI_02420	K11263
CLBEIFOI_02421	K01968
CLBEIFOI_02422	K00330
CLBEIFOI_02423	K00331
CLBEIFOI_02424	K03936
CLBEIFOI_02425	K00333
CLBEIFOI_02426	K03943
CLBEIFOI_02429	K03942
CLBEIFOI_02431	K03934
CLBEIFOI_02432	K00337
CLBEIFOI_02433	K03941
CLBEIFOI_02435	K00339
CLBEIFOI_02436	K00340
CLBEIFOI_02437	K00341
CLBEIFOI_02438	K00342
CLBEIFOI_02439	K01825
CLBEIFOI_02440	K03932
CLBEIFOI_02443	K02057
CLBEIFOI_02444	K02056
CLBEIFOI_02445	K00899
CLBEIFOI_02446	K08963
CLBEIFOI_02449	K00315
CLBEIFOI_02450	K03801
CLBEIFOI_02455	K06145
CLBEIFOI_02460	K02523
CLBEIFOI_02461	K00919
CLBEIFOI_02463	K00311
CLBEIFOI_02464	K03624
CLBEIFOI_02466	K03750
CLBEIFOI_02468	K03753
CLBEIFOI_02469	K03752
CLBEIFOI_02470	K02379
CLBEIFOI_02476	K07566
CLBEIFOI_02477	K07735
CLBEIFOI_02479	K03296
CLBEIFOI_02481	K03638
CLBEIFOI_02482	K21929
CLBEIFOI_02483	K00609
CLBEIFOI_02484	K01465
CLBEIFOI_02485	K08591
CLBEIFOI_02486	K02170
CLBEIFOI_02487	K00948
CLBEIFOI_02488	K03320
CLBEIFOI_02489	K04751
CLBEIFOI_02490	K05366
CLBEIFOI_02492	K04754
CLBEIFOI_02495	K09919
CLBEIFOI_02496	K01724
CLBEIFOI_02498	K00529
CLBEIFOI_02499	K08316
CLBEIFOI_02501	K01265
CLBEIFOI_02502	K00860
CLBEIFOI_02505	K00606
CLBEIFOI_02515	K01755
CLBEIFOI_02518	K00812
CLBEIFOI_02520	K01586
CLBEIFOI_02525	K00315
CLBEIFOI_02527	K00248
CLBEIFOI_02530	K00008
CLBEIFOI_02531	K00046
CLBEIFOI_02532	K12661
CLBEIFOI_02533	K15919
CLBEIFOI_02535	K01687
CLBEIFOI_02536	K00019
CLBEIFOI_02537	K00020
CLBEIFOI_02541	K12661
CLBEIFOI_02545	K01708
CLBEIFOI_02546	K03810
CLBEIFOI_02548	K00020
CLBEIFOI_02550	K00874
CLBEIFOI_02551	K02405
CLBEIFOI_02555	K00210
CLBEIFOI_02556	K00817
CLBEIFOI_02557	K02986
CLBEIFOI_02558	K01246
CLBEIFOI_02560	K00626
CLBEIFOI_02561	K00059
CLBEIFOI_02562	K00015
CLBEIFOI_02565	K00010
CLBEIFOI_02566	K00073
CLBEIFOI_02567	K01686
CLBEIFOI_02569	K19265
CLBEIFOI_02571	K23003
CLBEIFOI_02575	K09125
CLBEIFOI_02578	K00045
CLBEIFOI_02580	K10112
CLBEIFOI_02581	K15772
CLBEIFOI_02585	K06942
CLBEIFOI_02586	K01695
CLBEIFOI_02588	K00101
CLBEIFOI_02589	K02897
CLBEIFOI_02590	K01056
CLBEIFOI_02592	K09966
CLBEIFOI_02593	K01881
CLBEIFOI_02595	K02990
CLBEIFOI_02596	K02963
CLBEIFOI_02597	K02939
CLBEIFOI_02598	K01652
CLBEIFOI_02599	K01653
CLBEIFOI_02601	K05813
CLBEIFOI_02602	K05814
CLBEIFOI_02603	K05815
CLBEIFOI_02604	K10112
CLBEIFOI_02605	K22387
CLBEIFOI_02608	K01740
CLBEIFOI_02612	K00344
CLBEIFOI_02614	K00528
CLBEIFOI_02615	K02520
CLBEIFOI_02617	K07402
CLBEIFOI_02618	K07161
CLBEIFOI_02620	K01465
CLBEIFOI_02621	K03403
CLBEIFOI_02622	K04039
CLBEIFOI_02623	K04038
CLBEIFOI_02625	K07334
CLBEIFOI_02649	K02510
CLBEIFOI_02652	K01669
CLBEIFOI_02657	K10118
CLBEIFOI_02658	K02026
CLBEIFOI_02660	K10112
CLBEIFOI_02661	K10112
CLBEIFOI_02662	K00863
CLBEIFOI_02668	K00794
CLBEIFOI_02669	K14652
CLBEIFOI_02670	K03218
CLBEIFOI_02683	K15977
CLBEIFOI_02694	K00627
CLBEIFOI_02695	K00135
CLBEIFOI_02696	K00627
CLBEIFOI_02697	K00162
CLBEIFOI_02698	K00161
CLBEIFOI_02699	K01271
CLBEIFOI_02701	K10440
CLBEIFOI_02703	K10441
CLBEIFOI_02705	K00059
CLBEIFOI_02706	K00020
CLBEIFOI_02711	K03651
CLBEIFOI_02712	K11072
CLBEIFOI_02713	K11070
CLBEIFOI_02714	K02047
CLBEIFOI_02716	K02529
CLBEIFOI_02718	K03953
CLBEIFOI_02719	K00133
CLBEIFOI_02720	K05770
CLBEIFOI_02721	K02291
CLBEIFOI_02722	K10027
CLBEIFOI_02724	K03405
CLBEIFOI_02725	K03404
CLBEIFOI_02726	K00525
CLBEIFOI_02731	K02483
CLBEIFOI_02733	K01897
CLBEIFOI_02734	K01995
CLBEIFOI_02735	K01997
CLBEIFOI_02736	K01998
CLBEIFOI_02740	K11960
CLBEIFOI_02741	K01998
CLBEIFOI_02742	K06861
CLBEIFOI_02743	K01996
CLBEIFOI_02745	K06911
CLBEIFOI_02746	K07393
CLBEIFOI_02747	K00265
CLBEIFOI_02751	K01778
CLBEIFOI_02752	K18707
CLBEIFOI_02755	K01955
CLBEIFOI_02756	K01657
CLBEIFOI_02758	K01876
CLBEIFOI_02760	K05606
CLBEIFOI_02762	K09816
CLBEIFOI_02763	K09817
CLBEIFOI_02764	K09823
CLBEIFOI_02765	K09815
CLBEIFOI_02769	K02031
CLBEIFOI_02770	K02034
CLBEIFOI_02771	K02033
CLBEIFOI_02772	K12368
CLBEIFOI_02773	K03442
CLBEIFOI_02775	K00111
CLBEIFOI_02778	K03667
CLBEIFOI_02780	K01419
CLBEIFOI_02781	K03671
CLBEIFOI_02782	K16898
CLBEIFOI_02785	K07102
CLBEIFOI_02786	K06925
CLBEIFOI_02787	K07640
CLBEIFOI_02788	K07152
CLBEIFOI_02789	K07713
CLBEIFOI_02792	K01251
CLBEIFOI_02794	K00057
CLBEIFOI_02795	K01409
CLBEIFOI_02799	K10716
CLBEIFOI_02801	K01649
CLBEIFOI_02802	K10112
CLBEIFOI_02803	K10112
CLBEIFOI_02804	K02026
CLBEIFOI_02805	K10118
CLBEIFOI_02809	K01486
CLBEIFOI_02811	K02056
CLBEIFOI_02812	K07335
CLBEIFOI_02814	K01265
CLBEIFOI_02815	K00860
CLBEIFOI_02821	K17725
CLBEIFOI_02822	K00392
CLBEIFOI_02824	K02302
CLBEIFOI_02826	K15468
CLBEIFOI_02829	K21393
CLBEIFOI_02830	K01803
CLBEIFOI_02832	K13628
CLBEIFOI_02835	K00982
CLBEIFOI_02837	K01625
CLBEIFOI_02838	K01690
CLBEIFOI_02839	K06969
CLBEIFOI_02841	K01689
CLBEIFOI_02843	K03711
CLBEIFOI_02844	K05592
CLBEIFOI_02846	K08997
CLBEIFOI_02847	K01250
CLBEIFOI_02848	K04765
CLBEIFOI_02849	K01436
CLBEIFOI_02850	K01480
CLBEIFOI_02851	K02835
CLBEIFOI_02852	K02493
CLBEIFOI_02854	K02528
CLBEIFOI_02855	K00097
CLBEIFOI_02860	K01255
CLBEIFOI_02862	K06985
CLBEIFOI_02863	K05595
CLBEIFOI_02864	K06158
CLBEIFOI_02865	K00940
CLBEIFOI_02867	K00812
CLBEIFOI_02868	K01883
CLBEIFOI_02869	K01649
CLBEIFOI_02872	K01247
CLBEIFOI_02873	K06999
CLBEIFOI_02875	K02871
CLBEIFOI_02876	K02996
CLBEIFOI_02881	K22443
CLBEIFOI_02884	K01924
CLBEIFOI_02885	K02563
CLBEIFOI_02886	K03588
CLBEIFOI_02888	K01925
CLBEIFOI_02889	K01000
CLBEIFOI_02890	K01929
CLBEIFOI_02891	K01928
CLBEIFOI_02892	K03587
CLBEIFOI_02894	K03438
CLBEIFOI_02897	K03593
CLBEIFOI_02900	K00344
CLBEIFOI_02912	K10112
CLBEIFOI_02913	K05813
CLBEIFOI_02914	K17245
CLBEIFOI_02915	K17246
CLBEIFOI_02918	K03651
CLBEIFOI_02928	K03820
CLBEIFOI_02929	K06189
CLBEIFOI_02930	K07042
CLBEIFOI_02931	K06217
CLBEIFOI_02932	K06168
CLBEIFOI_02933	K00208
CLBEIFOI_02934	K00647
CLBEIFOI_02935	K01716
CLBEIFOI_02936	K09825
CLBEIFOI_02937	K13955
CLBEIFOI_02940	K01754
CLBEIFOI_02942	K08151
CLBEIFOI_02943	K00001
CLBEIFOI_02944	K01684
CLBEIFOI_02947	K00666
CLBEIFOI_02948	K10112
CLBEIFOI_02950	K18702
CLBEIFOI_02951	K00249
CLBEIFOI_02953	K03782
CLBEIFOI_02954	K04761
CLBEIFOI_02955	K01070
CLBEIFOI_02958	K02946
CLBEIFOI_02959	K02906
CLBEIFOI_02960	K02926
CLBEIFOI_02961	K02892
CLBEIFOI_02962	K07341
CLBEIFOI_02964	K00971
CLBEIFOI_02965	K00971
CLBEIFOI_02966	K00059
CLBEIFOI_02971	K02529
CLBEIFOI_02972	K00065
CLBEIFOI_02974	K00013
CLBEIFOI_02976	K17320
CLBEIFOI_02977	K02025
CLBEIFOI_02980	K08738
CLBEIFOI_02981	K00643
CLBEIFOI_02985	K03639
CLBEIFOI_02987	K01436
CLBEIFOI_02988	K01295
CLBEIFOI_02991	K02357
CLBEIFOI_02992	K02967
CLBEIFOI_02996	K16329
CLBEIFOI_02999	K00059
CLBEIFOI_03000	K13893
CLBEIFOI_03002	K01896
CLBEIFOI_03005	K00525
CLBEIFOI_03007	K00108
CLBEIFOI_03009	K03885
CLBEIFOI_03010	K19548
CLBEIFOI_03011	K07082
CLBEIFOI_03012	K09458
CLBEIFOI_03013	K02078
CLBEIFOI_03014	K00059
CLBEIFOI_03015	K00645
CLBEIFOI_03016	K02433
CLBEIFOI_03017	K02836
CLBEIFOI_03018	K05366
CLBEIFOI_03019	K01448
CLBEIFOI_03023	K22368
CLBEIFOI_03025	K00643
CLBEIFOI_03027	K03526
CLBEIFOI_03030	K01338
CLBEIFOI_03035	K02232
CLBEIFOI_03036	K19221
CLBEIFOI_03038	K02234
CLBEIFOI_03039	K02230
CLBEIFOI_03041	K06042
CLBEIFOI_03042	K13540
CLBEIFOI_03043	K13540
CLBEIFOI_03044	K05895
CLBEIFOI_03045	K00595
CLBEIFOI_03047	K05936
CLBEIFOI_03048	K02224
CLBEIFOI_03049	K02303
CLBEIFOI_03052	K01785
CLBEIFOI_03053	K12308
CLBEIFOI_03054	K14274
CLBEIFOI_03055	K01631
CLBEIFOI_03056	K00883
CLBEIFOI_03057	K13370
CLBEIFOI_03058	K07406
CLBEIFOI_03059	K10119
CLBEIFOI_03060	K17245
CLBEIFOI_03066	K02529
CLBEIFOI_03068	K02027
CLBEIFOI_03070	K01256
CLBEIFOI_03072	K00215
CLBEIFOI_03075	K00059
CLBEIFOI_03076	K03657
CLBEIFOI_03077	K00101
CLBEIFOI_03078	K01958
CLBEIFOI_03082	K02025
CLBEIFOI_03083	K10238
CLBEIFOI_03085	K00008
