OFPGINBK_00002	K01062
OFPGINBK_02148	K06881
OFPGINBK_02149	K00798
OFPGINBK_02152	K03734
OFPGINBK_02153	K00351
OFPGINBK_02154	K00350
OFPGINBK_02155	K00349
OFPGINBK_02156	K00348
OFPGINBK_02157	K00347
OFPGINBK_02158	K00346
OFPGINBK_02159	K00343
OFPGINBK_02160	K00342
OFPGINBK_02161	K00341
OFPGINBK_02162	K00340
OFPGINBK_02163	K00339
OFPGINBK_02164	K03941
OFPGINBK_02165	K00337
OFPGINBK_02166	K00333
OFPGINBK_02167	K13378
OFPGINBK_02168	K00331
OFPGINBK_02169	K00330
OFPGINBK_02170	K00318
OFPGINBK_02171	K06929
OFPGINBK_02176	K00858
OFPGINBK_02178	K03601
OFPGINBK_02179	K05788
OFPGINBK_02180	K08307
OFPGINBK_02182	K00655
OFPGINBK_02183	K01875
OFPGINBK_02187	K02579
OFPGINBK_02191	K05946
OFPGINBK_02192	K01784
OFPGINBK_02193	K08678
OFPGINBK_02196	K00973
OFPGINBK_02197	K01710
OFPGINBK_02198	K01790
OFPGINBK_02199	K00012
OFPGINBK_02201	K01409
OFPGINBK_02203	K02945
OFPGINBK_02204	K00945
OFPGINBK_02205	K06178
OFPGINBK_02206	K06024
OFPGINBK_02207	K05896
OFPGINBK_02208	K01867
OFPGINBK_02215	K03698
OFPGINBK_02217	K04759
OFPGINBK_02219	K03711
OFPGINBK_02220	K03657
OFPGINBK_02221	K07082
OFPGINBK_02224	K21903
OFPGINBK_02226	K01256
OFPGINBK_02228	K00057
OFPGINBK_02242	K01834
OFPGINBK_02244	K01513
OFPGINBK_02254	K01885
OFPGINBK_02256	K00548
OFPGINBK_02257	K01520
OFPGINBK_02258	K04078
OFPGINBK_02265	K10947
OFPGINBK_02267	K00873
OFPGINBK_02269	K06195
OFPGINBK_02271	K01595
OFPGINBK_02272	K01595
OFPGINBK_02273	K08305
OFPGINBK_02278	K00556
OFPGINBK_02279	K03496
OFPGINBK_02280	K03497
OFPGINBK_02281	K00031
OFPGINBK_02283	K00954
